,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,LandBase,,,
,,,,
,FOREST STAND TYPE,,,
,,,,
,Value,Description,Description,
,1,Productive forest land with no or minimal (occupies <30% of the stand area) unmerchantable component,Terre forestière productive sans éléments non marchands ou avec un élément non marchand minime (occupe <30 % de la superficie du peuplement),
,2,Productive forest land with both merchantable and unmerchantable stand components,Terre forestière productive dont le peuplement comprend des éléments marchands et non marchands,
,3,Productive forest land with no or minimal (<35m3/ha) merchantable stand component,Terre forestière productive sans éléments marchands ou avec un élément marchand minime (< 35 m3/ha) ,
