,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,LandBase,,,
,,,,
,SITE INDICATOR,,,
,,,,
,Value,Description,Notes,Description
,,Not applicable,,Sans objet
,D,"Poor, but well drained site (rocky)",,"Site pauvre, mais bien drainé (rocheux)"
,F,Seasonally saturated or flooded,Added in 2018 interp,Saturé ou inondé de façon saisonnière
,P,Poorly drained sites,,Site mal drainé
,W,Borderline forested wetlands,,Terres humides forestières limitrophes
